Summary for 1C.fullBW.cmc_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_Miss  L1I_PF_Acc  L1I_PF_Miss  L1D_LOAD_Acc  L1D_LOAD_Miss  L1D_PF_Acc  L1D_PF_Miss  L2C_LOAD_Acc  L2C_LOAD_Miss  L2C_PF_Acc  L2C_PF_Miss  LLC_LOAD_Acc  LLC_LOAD_Miss  LLC_PF_Acc  LLC_PF_Miss  IPC
                                                               gtraces_v2_sierra.a.4_0003 19971788       5282450       0           0            34267623       3824957       0           0             6921363       1672164        18377101    5122093     1417754       1116909         4210287     3043931     0.46
                                                               gtraces_v2_sierra.a.4_0004 20385366       4258447       0           0            33255947       4343692       0           0             6595800       1741401        17765901    5817509     1486203       1092213         5283878     3959012     0.48
                                                               gtraces_v2_sierra.a.6_0000 22932120       9892916       0           0            34992170       3635626       0           0            10231200       1250871        27400294    3193815     1115424        836572         2842515     1906053     0.52
                                                               gtraces_v2_sierra.a.6_0001 21128737       8881216       0           0            33933491       4516177       0           0            10216607       1935863        27498582    6428507     1656383       1074114         5519675     3936418     0.48
                                                               gtraces_v2_sierra.a.6_0002 22992620       9473847       0           0            34814120       3530828       0           0             9879222       1428983        26558486    3852576     1261547        935160         3247292     2151632     0.49
                                                               gtraces_v2_sierra.a.6_0003 22363959       9624494       0           0            34888727       4062905       0           0            10416407       1719745        28369953    5248504     1494078       1045071         4441692     3030656     0.47
                                                               gtraces_v2_sierra.a.6_0004 22676771      10207281       0           0            35391349       3670671       0           0            10529393       1341187        28155615    3526297     1189508        862762         3058131     1981460     0.50
                                                                    gtraces_v2_tahoe_0000 12803869       2038757       0           0            36473580       2184888       0           0             3231903        982011         8551846    2875624      821629        635855         2689985     1913275     0.66
                                                                    gtraces_v2_tahoe_0001 15631730       2405586       0           0            35140885       2994189       0           0             4122427       1376795        10827166    4054509     1094069        917725         3460703     2736229     0.55
                                                                    gtraces_v2_tahoe_0002  9335456        124036       0           0            31360102       3934591       0           0             2527869        991177         3251473    1453759      919697        663551         2596847     2066692     0.72
                                                                    gtraces_v2_tahoe_0003 15702256       2712211       0           0            34891323       2745323       0           0             4251939       1211196        11195658    3765428      984460        801973         3168102     2358917     0.54
                                                                    gtraces_v2_tahoe_0004 11957627       1709651       0           0            36961907       2179645       0           0             2962656        916268         7575716    2694653      745327        619592         2357365     1856104     0.66
                                                                    gtraces_v2_tango_0000 17261744       3750453       0           0            32268577       2538555       0           0             4762389        803535        12729599    1994369      727808        557640         2116448     1463886     0.61
                                                                    gtraces_v2_tango_0001 18245797       2213057       0           0            29720950       2436885       0           0             3372755        771632         8530851    1701333      711311        607349         1963630     1570374     0.69
                                                                    gtraces_v2_tango_0002 16512942       3586215       0           0            32654077       2697781       0           0             4714590        766440        12782530    1909556      689191        517446         2065776     1435497     0.63
                                                                    gtraces_v2_tango_0003 17523536       3506246       0           0            31956621       2673148       0           0             4651835        913758        12148158    2240514      830796        631324         2440310     1683412     0.58
                                                                    gtraces_v2_tango_0004 16999737       3048997       0           0            31451152       2463395       0           0             4142526        796486        10813908    1980867      718410        541138         2164007     1579550     0.63
                                                                   gtraces_v2_yankee_0000 13382743       2943310       0           0            34351340       2886302       0           0             4413003       1203485        12995112    4151654     1008286        718701         3395605     2186541     0.58
                                                                   gtraces_v2_yankee_0001 13277015       2628987       0           0            34182622       2843134       0           0             4142130       1152948        12387734    3977403      964179        676295         3354108     2124731     0.59
                                                                   gtraces_v2_yankee_0002 14838491       2111921       0           0            32565539       2393148       0           0             3411341        882166        10096542    3047588      740463        493315         2565668     1587365     0.73
                                                                   gtraces_v2_yankee_0003 13257940       2877609       0           0            34459774       2852122       0           0             4347824       1183937        12931265    4085918      998358        642168         3362659     2016700     0.60
                                                                   gtraces_v2_yankee_0004 13363846       2706541       0           0            34429533       2967019       0           0             4293437       1171950        12893643    4097519      981508        658623         3444677     2089117     0.59
